figure,desc,
Figure 8.9.8-1: Signalling flow for IAB BH RLC channel establishment procedure,"1. The IAB-donor-CU sends to the IAB-donor-DU a UE CONTEXT MODIFICATION REQUEST message for
setting up the parent-node IAB-DU side of the BH link between IAB-donor-DU and IAB-node 1. This step is
optional and is required only when a new BH RLC channel needs to be established on the BH link between IAB-
donor-DU and IAB-node 1.
2. The IAB-donor-DU sends the UE CONTEXT MODIFICATION RESPONSE message to the IAB-donor-CU.
3. The IAB-donor-CU sends to the IAB-donor-DU a DL RRC MESSAGE TRANSFER message encapsulating the
RRCReconfiguration message for configuring the IAB-MT of IAB-node 1. This step is optional and is required
only when a new BH RLC channel needs to be established on the BH link between IAB-donor-DU and IAB-
node 1.
4. The IAB-donor-DU decapsulates and forwards the RRCReconfiguration message to the IAB-MT of IAB-node 1.
This step is optional and is required only when a new BH RLC channel needs to be established on the BH link
between IAB-donor-DU and IAB-node 1.
5. The IAB-MT of IAB-node 1 sends to the IAB-donor-DU an RRCReconfigurationComplete message destined to
the IAB-donor-CU. This step is optional and is required only when a new BH RLC channel needs to be
established on the BH link between IAB-donor-DU and IAB-node 1.
6. The IAB-donor-DU sends the UL RRC MESSAGE TRANSFER message encapsulating the
RRCReconfigurationComplete message to the IAB-donor-CU. This step is optional and is required only when a
new BH RLC channel needs to be established on the BH link between IAB-donor-DU and IAB-node 1.
7. The IAB-donor-CU sends to the IAB-DU of IAB-node 1 a UE CONTEXT MODIFICATION REQUEST
message for setting up the parent node IAB-DU side of the BH link between IAB-node 1 and IAB-node 2. This
step is optional and is required only when a new BH RLC channel needs to be established on the BH link
between IAB-node 1 and IAB-node 2.
8. The IAB-node 1 sends the UE CONTEXT MODIFICATION RESPONSE message to the IAB-donor-CU.
9. The IAB-donor-CU sends to the IAB-DU of IAB-node 1 a DL RRC MESSAGE TRANSFER message
encapsulating the RRCReconfiguration message for configuring the IAB-MT of IAB-node 2. This step is
optional and is required only when a new BH RLC channel needs to be established on the BH link between IAB-
node 1 and IAB-node 2.
ETSI
3GPP TS 38.401 version 17.6.0 Release 17
 71
 ETSI TS 138 401 V17.6.0 (2023-10)
10. The IAB-DU of IAB-node 1 decapsulates and forwards the RRCReconfiguration message to the IAB-MT of
IAB-node 2. This step is optional and is required only when a new BH RLC channel needs to be established on
the BH link between IAB-node 1 and IAB-node 2.
11. The IAB-MT of IAB-node 2 sends to IAB-node 1 an RRCReconfigurationComplete message destined to the
IAB-donor-CU. This step is optional and is required only when a new BH RLC channel needs to be established
on the BH link between IAB-node 1 and IAB-node 2.
12. IAB-node 1 sends the UL RRC MESSAGE TRANSFER message encapsulating the
RRCReconfigurationComplete message to the IAB-donor-CU. This step is optional and is required only when a
new BH RLC channel needs to be established on the BH link between IAB-node 1 and IAB-node 2.",78.png
"Figure 8.10-1: Managing multiple TNLAs for E1.
","1. Either the gNB-CU-CP or gNB-CU-UP establishes the first SCTP association with the gNB-CU-UP or gNB-
CU-CP respectively using a configured TNL address.
NOTE:
The gNB-CU-UP/gNB-CU-CP may use different source and/or destination IP end point(s) if the TNL
establishment towards one IP end point fails. How the gNB-CU-UP/gNB-CU-CP gets the remote IP end
point(s) and its own IP address are outside the scope of this specification.
2-3 (A). Once the TNLA (gNB-CU-UP initiated) has been established, the gNB-CU-UP initiates the E1 Setup
procedure to exchange application level configuration data.
2-3 (B). Once the TNLA (gNB-CU-CP initiated) has been established, the gNB-CU-CP initiates the E1 Setup
procedure to exchange application level configuration data.
4-6. The gNB-CU-CP may add additional SCTP Endpoint(s) to be used for E1 signalling between the gNB-CU-
CP and the gNB-CU-UP pair using the gNB-CU-CP Configuration Update procedure. The gNB-CU-CP
Configuration Update procedure also allows the gNB-CU-CP to request the gNB-CU-UP to modify or release
TNLA(s).
7-9. The gNB-CU-UP may add additional TNL association(s) to be used for E1 signalling using a gNB-CU-CP
endpoint already in use for existing TNL associations between the gNB-CU-CP and the gNB-CU-UP pair. The
gNB-CU-UP CONFIGURATION UPDATE message including the gNB-CU-UP ID shall be the first E1AP
message sent on an additional TNLA of an already setup E1 interface instance after the TNL association has
become operational. The E1AP UE TNLA binding is a binding between a E1AP UE association and a specific
TNL association for a given UE. After the E1AP UE TNLA binding is created, the gNB-CU-CP can update the
UE TNLA binding by sending the E1AP message for the UE to the gNB-CU-UP via a different TNLA. The
gNB-CU-UP shall update the E1AP UE TNLA binding with the new TNLA. The gNB-CU-UP Configuration
Update procedure also allows the gNB-CU-UP to inform the gNB-CU-CP that the indicated TNLA(s) will be
removed by the gNB-CU-UP.",79.png
"Figure 8.11.2-1: UE Initial Access procedure and network sharing with multiple cell-ID broadcast
","In this example message flow
-
 the UE is assumed to not provide an ue-Identity from which the DU is able to deduce the PLMN ID.
-
 each F1-C interface instance uses a separate signalling transport or share signalling transport with other F1-C
interface instances.
-
 the gNB-DUA/B entity shown in Figure 8.11.2-1 is a simplified representation of the gNB-DUA of PLMN A, the
gNB DUB of PLMN B and respective radio resources of the shared cell.6. The gNB-DUA sends the F1AP UE CONTEXT RELEASE REQUEST message to the gNB-CUA. including a
Cause set to ""PLMN not served by the CU"".
ETSI
3GPP TS 38.401 version 17.6.0 Release 17
 76
 ETSI TS 138 401 V17.6.0 (2023-10)
7. The gNB-DUB sends the F1AP INITIAL UL RRC MESSAGE to the gNB-CUB. including the NR CGI
associated with PLMNB, the C-RNTI indicated by the gNB-DUA at step 2, and the RRC-Container IE and the
RRC-Container-RRCSetupComplete IE with the RRC message received in step1 and step 5 respectively. The
RRC-Container-RRCSetupComplete IE are included in the INITIAL UL RRC MESSAGE TRANSFER for
the case of network sharing and shall contain the RRC messages received via the RRC UL-DCCH-Message
IE from the UE, but never previously sent to the gNB-CUB.
8. The gNB-CU A sends the UE CONTEXT RELEASE COMMAND message to the gNB-DU.
9. The gNB-DU sends the UE CONTEXT RELEASE COMPLETE message to the gNB-CUA.
NOTE: Initiating procedures from gNB-DUA towards gNB-CUA and from gNB-DUB to gNB-CUB in parallel is not
precluded.",80.png
"Figure 8.11.3-1: RRC Connection Reestablishment and network sharing with multiple cell-ID broadcast
","each F1-C/Xn-C interface instance uses either a separate signalling transport or a share signalling transport with
other interface instances.
-
 the New gNB-DU A/B entity shown in Figure 8.11.3-1 is a simplified representation of the New gNB-DUA of
PLMN A, the New gNB DUB of PLMN B and respective radio resources of the shared cell.1. The UE sends the RRCReestablishmentRequest.
2A-5A. Depicts the case where the UE context could not be retrieved by the new gNB-CUA. In step 2A, the NR
CGI associated to PLMNA is indicated. In step 5A, the gNB-CUA would prepare the possibility to revert back to
ETSI
3GPP TS 38.401 version 17.6.0 Release 17
 77
 ETSI TS 138 401 V17.6.0 (2023-10)
normal RRC Connection Establishment, indicating that the UE Context was not retrieveable and may include the
re-directed RRC message as received in step 1. After step 5A, the gNB-DUA may redirect the UE towards the
PLMN indicated in DL RRC MESSAGE TRANSFER message, if the PLMN assistance information is
provided by the gNB-CUA . If the New gNB-DU A/B was not able to deduce the RRC message from step 1, this
indicator triggers step 2B. The New gNB-DUA is supposed to trigger the release the UE-associated signalling
connection (not shown).
2B-5B. Depicts the case where the UE context was retrieveable by the New gNB-CUB. In step 2B, the NR CGI
associated to PLMNB is indicated. Step 2B also includes the C-RNTI allocated at reception of step 1.
6-8.
 The RRC Connection Reestablishment continues with the New gNB-CUB.
NOTE:
 If all gNB-CUs indicate that the UE context is not retrievable, the RRC connection reestablishment falls
back to RRC Connection setup, as described in clause 8.11.2.
NOTE:
 Initiating procedures from gNB-DUA towards gNB-CUA and from gNB-DUB to gNB-CUB in parallel is
not precluded.",81.png
"Figure 8.12.1-1: The integration procedure for IAB-node in SA
","A high-level flow chart for SA-based IAB integration Phase 1: IAB-MT setup. In this phase, the IAB-MT of the new IAB-node (e.g. IAB-node 2 in Figure 8.12.1-1)
connects to the network in the same way as a UE, by performing RRC connection setup procedure with IAB-
donor-CU, authentication with the core network, IAB-node 2-related context management, IAB-node 2’s access
traffic-related radio bearer configuration at the RAN side (SRBs and optionally DRBs), and, optionally, OAM
ETSI
3GPP TS 38.401 version 17.6.0 Release 17
 78
 ETSI TS 138 401 V17.6.0 (2023-10)
connectivity establishment by using the IAB-MT’s PDU session. The IAB-node can select the parent node for
access based on an over-the-air indication from potential parent node IAB-DU (transmitted in SIB1). To indicate
its IAB capability, the IAB-MT includes the IAB-node indication in RRCSetupComplete message, to assist the
IAB-donor to select an AMF supporting IAB.
NOTE: The signalling flow for UE initial access procedure as shown in Figure 8.1-1/Figure 8.9.1-1 is used for the
setup of the IAB-MT.
Phase 2-1: BH RLC channel establishment. During the bootstrapping procedure, one default BH RLC channel for
non-UP traffic e.g. carrying F1-C traffic/non-F1 traffic to and from the IAB-node 2 in the integration phase, is
established. This may require the setup of a new BH RLC channel or modification of an existing BH RLC channel
between IAB-node 1 and IAB-donor-DU. The IAB-donor-CU may establish additional (non-default) BH RLC
channels. This phase also includes configuring the BAP Address of the IAB-node 2 and default BAP Routing ID
for the upstream direction.
NOTE: If the OAM connectivity is supported via backhaul IP layer by implementation, one or more BH RLC
channels used for OAM traffic can also be established.
Phase 2-2: Routing update. In this phase, the BAP sublayer is updated to support routing between the new IAB-
node 2 and the IAB-donor-DU. For the downstream direction, the IAB-donor-CU initiates F1AP procedure to
configure the IAB-donor-DU with the mapping from IP header field(s) to the BAP Routing ID related to IAB-
node 2. The routing tables are updated on all ancestor IAB-nodes (e.g. IAB-node 1 in Figure 8.12.1-1) and on the
IAB-donor-DU, with routing entries for the new BAP Routing ID(s). This phase may also include the IP address
allocation procedure for IAB-node 2. IAB-node 2 may request one or more IP addresses from the IAB-donor-CU
via RRC. The IAB-donor-CU may send the IP address(es) to the IAB-node 2 via RRC. The IAB-donor-CU may
obtain the IP address(es) from the IAB-donor-DU via F1-AP or by other means (e.g. OAM, DHCP). IP address
allocation procedure may occur at any time after RRC connection has been established.
Phase 3: IAB-DU part setup. In this phase, the IAB-DU of IAB-node 2 is configured via OAM. The IAB-DU of
IAB-node 2 initiates the TNL establishment, and F1 setup (as defined in clause 8.5) with the IAB-donor-CU using
the allocated IP address(es). The IAB-donor-CU discovers collocation of IAB-MT and IAB-DU from the IAB-
node’s BAP Address included in the F1 SETUP REQUEST message. After the F1 is set up, the IAB-node 2 can
start serving the UEs.",82.png
Figure 8.12.2-1: Signalling flow for IAB integration procedure in NSA,"Phase 1-1. IAB-MT part setup with E-UTRAN. In this phase, the IAB-MT part connects to the LTE network as a
UE, by performing RRC connection setup procedure with an eNB, authentication with the EPC, IAB-node’s access
traffic-related radio bearer configuration at the E-UTRAN side, and optionally, OAM connectivity establishment
by using the IAB-MT’s PDN connection. The IAB-node can select the IAB-supporting eNB based on an over-the-
air indication from eNB (transmitted in SIB1). To indicate its IAB capability, the IAB-MT includes the IAB-node
indication in RRCConnectionSetupComplete message, to assist the eNB to select an MME supporting IAB. The
eNB then configures the IAB-MT part with an NR measurement configuration in order to perform discovery,
measurement and measurement reporting of candidate gNBs. To enable the eNB choose an en-gNB which supports
IAB function, the IAB capability of neighbour gNBs can be pre-configured in the eNB (e.g. by OAM).
NOTE: Other ways to enable the eNB know the IAB capability of neighbour gNBs are not precluded.
Phase 1-2. SgNB addition. In this phase, the IAB-MT part connects to the parent node IAB-DU and IAB-donor-
CU via the EN-DC SgNB Addition procedure. The procedure defined in clause 8.4.1 is reused. The eNB includes
“IAB Node Indication” in SGNB ADDITION REQUEST message to inform the IAB-donor-CU that the request
is for an IAB-node. In addition, SRB3 can be set up for the IAB-MT, to transmit RRC message between the IAB-
MT and the IAB-donor-CU via the NR links directly.
Phase 2-1: BH RLC channel establishment. This phase is the same as Phase 2-1 in the standalone IAB integration
procedure (refer to the Phase 2-1 in clause 8.12.1). This step may occur in Phase 1-2.
Phase 2-2: Routing update. This phase is the same as Phase 2-2 in the standalone IAB integration procedure (refer
to the Phase 2-2 in clause 8.12.1), except that the IP traffic on the F1-C interface may be transmitted via the MeNB.
Phase 3. IAB-DU part setup. This phase is the same as Phase 3 in the standalone IAB integration procedure (refer
to the Phase 3 in clause 8.12.1), except that the IP traffic on the F1-C interface may be transmitted via the MeNB.
The IAB-donor-CU decides to only configure LTE leg, or only to configure NR leg, or to configure both LTE leg
and NR leg, to be used for F1-C traffic transfer. The configuration may be performed before IAB-DU part setup.
IAB-donor-CU may also change the configuration after IAB-DU part setup. In case the configuration is not
performed before IAB-DU part setup, the IAB node uses the NR leg as the default one. When both LTE leg and
NR leg are configured, it is up to the implementation to select the leg for F1-C traffic transfer.",83.png
Figure8.13.1-1 Signalling based MDT Activation,"1. The AMF starts a trace session and sends a TRACE START message to the gNB. The AMF shall consider the
MDT user consent information when activating an MDT trace session for the UE as defined in TS 32.422 [20].
TRACE START message includes the parameters for configuring MDT measurements.
2. The gNB-CU-CP decides if the gNB-CU-UP, or the gNB-DU, or both, should be involved in the MDT
measurement. If the gNB-CU-UP should be involved in the MDT measurement, the gNB-CU-CP sends TRACE
START message to the gNB-CU-UP, including MDT configuration parameters.
3. If the gNB-DU should be involved in the MDT measurement, the gNB-CU-CP sends TRACE START message
to the gNB-DU, including MDT configuration parameters.",84.png
"Figure 8.13.2.2-1
 Management based MDT Activation in gNB-CU-CP","1. The EM sends a Trace Session activation request to the gNB-CU-CP. This request includes the parameters for
configuring UE measurements.
2. The gNB-CU-CP shall select the suitable UEs for MDT data collection. If the UE is not in the specified area or
if the serving PLMN is not within the Management Based MDT PLMN List the UE shall not be selected by the
gNB-CU-CP for MDT data collection as defined in TS 32.422 [20].
3.For each selected UE, if the gNB-CU-UP should perform MDT measurement, the gNB-CU-CP sends TRACE
START message to the gNB-CU-UP, including MDT configuration parameters.
For each selected UE, if the gNB-DU should perform MDT measurement, the gNB-CU-CP sends TRACE
START message to the gNB-DU, including MDT configuration parameters.
4. The gNB-CU-CP may send CELL TRAFFIC TRACE message to the AMF for the selected UE, including Trace
ID for MDT. The AMF forwards Trace ID and other information to the TCE as specified in TS 32.422 [20].",85.png
"Figure 8.13.2.3-1
 Management based MDT Activation in gNB-DU","1. The gNB-CU-CP sends UE CONTEXT SETUP REQUEST message to the gNB-DU, including Management
based MDT PLMN List. The message may include the Polluted Measurement Indicator IE. If the gNB-DU has
received the Polluted Measurement Indicator IE, the gNB-DU includes the information contained in such
indicator as part of the measurement report to be sent to the TCE, so that the TCE is able to correlate and filter
the affected measurements.
2. The gNB-DU sends UE CONTEXT SETUP RESPONSE message to the gNB-CU-CP.
3. The EM sends a Trace Session activation request to the gNB-DU. This request includes the parameters for
configuring UE measurements.
4.The gNB-DU shall select the suitable UEs for MDT data collection. If the UE is not in the specified area or if
the serving PLMN is not within the Management Based MDT PLMN List the UE shall not be selected by the
gNB-DU for MDT data collection as defined in TS 32.422 [20].
For each selected UE, the gNB-DU may send CELL TRAFFIC TRACE message to the gNB-CU-CP in the F1
UE associated signalling, including Trace ID for MDT.
5.Upon reception of a CELL TRAFFIC TRACE message from F1, the gNB-CU-CP shall send CELL TRAFFIC
TRACE message to the AMF for this UE, including Trace ID for MDT. The AMF forwards Trace ID and other
information to the TCE as specified in TS 32.422 [20].",86.png
"Figure 8.13.2.4-1
 Management based MDT Activation in gNB-CU-UP","1.The gNB-CU-CP sends BEARER CONTEXT SETUP REQUEST message to the gNB-CU-UP, including
Management based MDT PLMN List. The message may include Polluted Measurement Indicator. If the gNB-
DU has received the Polluted Measurement Indicator IE, the gNB-DU includes the information contained in
such indicator as part of the measurement report to be sent to the TCE so that the TCE is able to correlate and
filter the affected measurements.
2.3.The gNB-CU-UP sends BEARER CONTEXT SETUP RESPONSE message to the gNB-CU-CP.
The EM sends a Trace Session activation request to the gNB-CU-UP. This request includes the parameters for
configuring UE measurements.
4. The gNB-CU-UP shall select the suitable UEs for MDT data collection. If the serving PLMN is not within the
Management Based MDT PLMN List the UE shall not be selected by the gNB-CU-UP for MDT data collection
as defined in TS 32.422 [20].
For each selected UE, the gNB-CU-UP may send CELL TRAFFIC TRACE message to the gNB-CU-CP in the
E1 UE associated signalling, including Trace ID for MDT
5.Upon reception of a CELL TRAFFIC TRACE message from E1, the gNB-CU-CP shall send CELL TRAFFIC
TRACE message to the AMF for this UE, including Trace ID for MDT. The AMF forwards Trace ID and other
information to the TCE as specified in TS 32.422 [20].",87.png
"Figure 8.13.2.5-1
 User consent propagation in EN-DC","0. User Context information are made available at the MME.
1. The MME sends INITIAL CONTEXT SETUP REQUEST message to the MeNB, including Management Based
MDT Allowed IE and the Management based MDT PLMN List IE to communicate user consent to the eNB.
2. The MeNB sends SGNB ADDITION REQUEST to the gNB-CU-CP at EN-DC setup. This request includes
Management Based MDT Allowed IE and, optionally, the Management based MDT PLMN List IE, if available.
3a. The user consent is communicated to the gNB-DU at the UE context setup by including the Management based
MDT PLMN List IE in the UE CONTEXT SETUP REQUEST.
3b. The user consent is communicated to the gNB-CU-UP at the bearer context setup by including the Management
based MDT PLMN List IE in the BEARER CONTEXT SETUP REQUEST.",88.png
"Figure 8.13.2.6-1
 User consent propagation in NR-DC and NGEN-DC","0. User Context information are made available at the AMF.
1. The AMF sends INITIAL CONTEXT SETUP REQUEST message to the MN, including the Management based
MDT PLMN List IE to communicate user consent to the MN.
2. The MN sends S-NODE ADDITION REQUEST to the SgNB-CU-CP at NR-DC setup. This request includes the
Management based MDT PLMN List IE.
3a. The user consent is communicated to the SgNB-DU at the UE context setup by including the Management based
MDT PLMN List IE in the UE CONTEXT SETUP REQUEST.
3b. The user consent is communicated to the SgNB-CU-UP at the bearer context setup by including the Management
based MDT PLMN List IE in the BEARER CONTEXT SETUP REQUEST.",89.png
"Figure 8.13.2.7-1
 Data anonymization in MR-DC when the SN is the SgNB","0.The gNB-CU-CP, the gNB-CU-UP, the gNB-DU receives the MDT configuration from EM and select the
suitable UEs for MDT data collection. The anonymization MDT configuration parameter from the EM is
considered to be IMEI-TAC.
1. For the management based MDT activation in gNB-CU-UP and/or in gNB-DU, if the gNB-CU-UP and/or the
gNB-DU receive an MDT Configuration including the anonymization parameter set to IMEI-TAC, the gNB-CU-
UP and/or gNB-DU send CELL TRAFFIC TRACE message to the gNB-CU-CP for this UE, including Trace ID
and privacy indicator.
2. For the management based MDT activation in gNB-CU-CP, upon receiving the CELL TRAFFIC TRACE
message from E1/F1, the gNB-CU-CP shall send a CELL TRAFFIC TRACE message to the MN for this UE,
including Trace ID and privacy indicator.
3. The MN sends a CELL TRAFFIC TRACE message to the CN for this UE, including Trace ID and privacy
indicator. The CN forwards Trace ID and other information to the TCE as specified in TS 32.422 [20].",90.png
Figure 8.14.1.1-1 Example of signalling of RLF information from gNB-CU to gNB-DU in NG RAN,"1. A UE with a logged RLF Report connects to a cell in gNB2 and it signals the RLF Report to gNB2 by means of
the RRC UE Information Request/Response procedures.
2. The gNB2 sends an Xn: Failure Indication to gNB1-CU where the UE may have previously been connected prior
to the connection failure. This includes also the RLF Report.
3. The gNB1-CU sends the F1: Access and Mobility Indication message to the gNB1-DU, including the RLF
Report.
It is also possible for the gNB-CU receiving the RLF Report from the UE to signal it directly to the gNB-DU by means
of the F1: Access and Mobility Indication procedure.",91.png
Figure 8.14.1.2-1 Example of signalling of RACH information from gNB-CU to gNB-DU in NG-RAN,"1. A UE with a RACH Report concerning cells of gNB1 connects to a cell in gNB2 and it signals the RACH Report
to gNB2 by means of the RRC UE Information Request/Response procedures.
2. GNB2 sends an Xn: Access and Mobility Indication message to gNB1-CU where the UE may have previously
been connected. This includes also the RACH Report.
3. GNB1-CU sends the F1: Access and Mobility Indication message to the gNB1-DU, including the RACH Report.
It is also possible for the gNB-CU receiving the RACH Report from the UE to signal it directly to the gNB-DU by
means of the F1: Access and Mobility Indication procedure.",92.png
Figure 8.15.1.1-1: Broadcast MBS Session Setup,"1. The 5GC starts the broadcast session by sending the NGAP Broadcast Session Setup Request message to the
gNB containing the TMGI, S-NSSAI, 5G QoS Profile, area information and transport information (for NG-U
multicast transport it provides the IP multicast address and the IP source specific multicast address).
2/3. The gNB-CU-CP sets up the broadcast bearer context, providing NG-U transport information from the 5GC to
the gNB-CU-UP and receiving from the gNB-CU-UP the NG-U GTP DL TEID in case NG-U unicast transport
was selected and an F1-U GTP UL TEID per MRB.
4. In case of NG-U multicast transport, the gNB-CU-UP joins the NG-U multicast group.
5/6. The gNB-CU-CP establishes the Broadcast MBS Session Context at the gNB-DU, providing MRB
configuration, other relevant session parameters and F1-U GTP UL TEID information, and receiving F1-U GTP
DL TEID information.
7/8. The gNB-CU-CP triggers BC Bearer Context Modification Request towards the gNB-CU-UP to provide the
F1-U GTP DL TEID information.
9. The gNB-DU configures broadcast resources and provides broadcast configuration information to the UEs by
means of MCCH.
10. The gNB-CU CP successfully terminates the NGAP broadcast Session Setup procedure. In case the gNB has
chosen NG-U unicast transport, NG-U GTP DL TEID information is provided to the 5GC.
11. The broadcast MBS media stream is provided to the UEs.
On NG-U, in case of location dependent broadcast MBS Sessions, multiple shared NG-U transport tunnels may need to
be setup, one per Area Session ID served by the gNB.
In case of shared NG-U termination,
-
 the gNB-CU-UP may provide the gNB-CU-CP at E1 setup or configuration update about established shared NG-
U terminations, indicated by one or several MBS Session IDs.
-
 at establishment of the BC bearer context in the gNB-CU-UP, the gNB-CU-CP may request the gNB-CU-UP to
either apply the available MRB configuration of the shared NG-U termination, or to apply the MRB
configuration requested by the gNB-CU-CP. The gNB-CU-UP provides the MRB configuration to the gNB-CU-
CP if the MRB configuration requested by the gNB-CU-CP and the available MRB configuration of the shared
NG-U termination are different.",93.png
"Figure 8.15.1.2-1: Multicast MBS Session Context establishment
","0. For a certain multicast MBS session (TMGI), which is currently active, no multicast MBS session context is yet
established in the gNB.
1. The UE joins the multicast session.
NOTE 1: NAS related details for PDU Session signalling are not shown in Figure 8.15.1.2-1.
2/3. The gNB-CU-CP establishes the multicast bearer context at the gNB-CU-UP. For unicast NG-U transport the
GTP DL TEID is retrieved.
4/5. The gNB-CU CP triggers the NGAP Distribution Setup procedure. For unicast NG-U transport, DL GTP TEID
is provided to the 5GC. For multicast NG-U transport, multicast address information is retrieved from the 5GC.
Multicast session QoS parameters are provided by the 5GC.
5a/5b. The gNB-CU-CP triggers the setup of MRB resources via the E1AP MC Bearer Context Modification
procedure. For multicast NG-U transport the 5GC shared NG-U multicast address information is provided to the
gNB-CU-UP. Multicast session QoS parameters are provided to the gNB-CU-UP.
6/7. The gNB-CU-CP establishes the Multicast Context at the gNB-DU, providing MRB configuration. It may
contain MBS Area Session ID information.
8/9. The gNB-CU-CP retrieves the MRB configuration for the joined UE from the gNB-DU via F1 UE Context
Management procedures.
NOTE 2: The interactions between the gNB-CU-CP and gNB-CU-UP for UE specific Berarer Context management
before and after step 8/9 are not illustrated in this Figure.
ETSI
3GPP TS 38.401 version 17.6.0 Release 17
 91
 ETSI TS 138 401 V17.6.0 (2023-10)
10. The gNB-DU triggers the establishment of F1-U resources, which are established either per gNB-DU or per cell
or per MBS Area Session ID.
11/12. The gNB-CU-UP side of the F1-U is established by means of the E1AP MC Bearer Context Modification
procedure, providing the gNB-DU side F1-U TNL to the gNB-CU-UP, which provides the gNB-CU-UP side F1-
U TNL address in return.
13. The gNB-CU-UP side F1-U TNL address is provided to the gNB-DU.
14. In case of NG-U multicast transport, the gNB-CU-UP joins the NG-U multicast group.
15. The gNB successfully terminates the NGAP procedure for establishing the multicast session context.
16. The gNB-CU-CP RRC-configures each UE which has joined the multicast group.
17. The multicast MBS media stream is provided to the UEs.
On NG-U, in case of location dependent multicast MBS Sessions, multiple shared NG-U transport tunnels may need to
be setup, one per Area Session ID served by the gNB.
In case of shared NG-U termination,
-
 the gNB-CU-UP may provide the gNB-CU-CP at E1 setup or configuration update about established shared NG-
U terminations, indicated by one or several MBS Session IDs.
-
 at establishment of the MC bearer context in the gNB-CU-UP, the gNB-CU- CP may request the gNB-CU-UP to
either apply the available MRB configuration of the shared NG-U termination, or to apply the MRB
configuration requested by the gNB-CU-CP. The gNB-CU-UP provides the MRB configuration to the gNB-CU-
CP if the MRB configuration requested by the gNB-CU-CP and the available MRB configuration of the shared
NG-U termination are different.",94.png
"Figure 8.15.1.3-1: Multicast MRB type re-configuration with F1-U ptp retransmission tunnel establishment
","1. The gNB-DU decides to change the MRB type configuration for a UE and provides the new configuration to the
gNB-CU-CP along with a per-MRB MRB type reconfiguration indication and the MRB Reconfigured RLC
mode.
2. The gNB-CU-CP confirms the modification request and indicates this to the gNB-DU. The gNB-CU-CP may
request the gNB-DU to establish F1-U ptp retransmission resources in order for the UE to perform PDCP Status
Report and receive retransmitted PDCP PDUs for the reconfigured MRBs.
4. - 7. If necessary, the gNB-DU requests the establishment of F1-U resources for ptp retransmission by means of
triggering the F1AP Multicast Distribution Setup procedure, which in turn triggers the E1AP MC Bearer Context
Modification procedure to exchange F1-U tunnel end-point addresses.",95.png
"Figure 8.15.2.1-1: Inter-gNB-CU Mobility for Multicast
","1. The Source gNB-CU-CP sends MC BEARER CONTEXT MODIFICATION REQUEST message towards the
Source gNB-CU-UP, to request the last delivered MRB Progress of an MBS Session related to a Multicast F1-U
Context Reference E1.
2. The Source gNB-CU-UP responds to the gNB-CU-CP in the MC BEARER CONTEXT MODIFICATION
RESPONSE message, providing the last delievered MRB Progress.
3. The source gNB-CU-CP sends the HANDOVER REQUEST message to the target gNB-CU-CP with the last
delievered MRB progress for the Multicast sessions the UE has joined.
4. In case the Multicast session which the UE has joined was not established in the target cell, the target gNB-CU-
CP triggers the Multicast MBS Session Context Establishment procedure as defined in section 8.15.1.2.
5. The target gNB-CU-CP triggers MC BEARER CONTET SETUP REQUEST message towards the target gNB-
CU-UP.
6. The target gNB-CU-UP responds to the target gNB-CU-CP by sending the MC BEARER CONTET SETUP
RESPONSE message.
ETSI
3GPP TS 38.401 version 17.6.0 Release 17
 93
 ETSI TS 138 401 V17.6.0 (2023-10)
7. The target gNB-CU-CP sends UE CONTEXT SETUP REQUEST towards the target gNB-DU. If the target
gNB-CU-CP has decided to request a PTP Forwarding tunnel, the message contains the PTP Forwarding Tunnel
Required indication and the last delivered MRB Progress for the MRBs requested to be configured.
8. The target gNB-DU sends UE CONTEXT SETUP RESPONSE towards the target gNB-CU-CP.
9. If a PTP Forwarding Tunnel was requested in step 7, the target gNB-DU shall, if supported, trigger the F1-U
tunnel establishment via MULTICAST DISTRIBUTION SETUP REQUEST, including the F1-U DL UP TNL
information and the last delievered MRB Progress for the each of the MRB.
10. The target gNB-CU-CP sends the MC BEARER CONTEXT MODIFICATION REQUEST towards the target
gNB-CU-UP, including for each MRB a request for the oldest availiable MRB Progress information, the last
delivered MRB Progress, and the F1-U DL UP TNL information.
11. Based on the information received in step 10, the target gNB-CU-UP determines whether the Xn-U data
forwarding is needed or not, and in case it is needed, provide for each MRB the oldest available MRB Progress
and the assigned XN-U DL Forwarding UP TNL Info to the target gNB-CU-CP in the MC BEARER
CONTEXT MODIFICATION RESPONSE message.
12. In case step 9 was triggerred, the target gNB-CU-CP sends the MULTICAST DISTRIBUTION SETUP
RESPONSE to the target gNB-DU.
13. The target gNB-CU-CP sends HANDOVER REQUEST ACKNOWLEDGE to the source gNB-CU-CP,
including the XN-U DL Forwarding UP TNL Info and the oldest available MRB Progress for each MRB.
14. The source gNB-CU-CP forwards the XN-U DL Forwarding UP TNL Info and the oldest available MRB
Progress for each MRB to the source gNB-CU-UP via MC BEARER CONTEXT MODIFICATION REQUEST
message.
15. The source gNB-CU-UP sends the MC BEARER CONTEXT MODIFICATION RESPONSE message to the
source gNB-CU-CP.
16. The source gNB-CU-UP starts to forward MBS data towards the target gNB-CU-UP.
NOTE: step 16 may happen before or after or in parallel with step 15.
17. If a PTP Forwarding Tunnel was established, the target gNB-CU-UP sends the forwarding data to the target
gNB-DU.",96.png
